,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
0,TXG,"10x Genomics, Inc.",82.38,$8.1B,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
1,YI,"111, Inc.",7.0,$576.52M,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
2,PIH,"1347 Property Insurance Holdings, Inc.",4.59,$27.85M,2014.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
3,PIHPP,"1347 Property Insurance Holdings, Inc.",24.625,$17.24M,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
4,TURN,180 Degree Capital Corp.,1.72,$53.53M,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
5,FLWS,"1-800-FLOWERS.COM, Inc.",22.82,$1.47B,1999.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
6,BCOW,"1895 Bancorp of Wisconsin, Inc.",9.5,$47.13M,2019.0,Finance,Banks,https://old.nasdaq.com/symbol/bcow
7,ONEM,"1Life Healthcare, Inc.",32.87,$4.15B,2020.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
8,FCCY,1st Constitution Bancorp (NJ),14.05,$143.33M,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
9,SRCE,1st Source Corporation,37.6,$960.14M,,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
10,VNET,"21Vianet Group, Inc.",13.34,$1.51B,2011.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
11,TWOU,"2U, Inc.",33.16,$2.12B,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
12,QFIN,"360 Finance, Inc.",9.98,$1.46B,2018.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
13,KRKR,36Kr Holdings Inc.,5.79,$217.09M,2019.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
14,JOBS,"51job, Inc.",69.19,$4.63B,2004.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
15,ETNB,"89bio, Inc.",22.83,$314.91M,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
16,JFK,8i Enterprises Acquisition Corp,10.06,$74.72M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfk
17,JFKKR,8i Enterprises Acquisition Corp,0.31,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr
18,JFKKU,8i Enterprises Acquisition Corp,10.6,$53M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku
19,JFKKW,8i Enterprises Acquisition Corp,0.49,$2.82M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw
20,EGHT,8x8 Inc,14.74,$1.53B,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
21,NMTR,"9 Meters Biopharma, Inc.",0.6688,$64.37M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr
